Color	Type	SKU	Description	Base Price
MW	MICROWAVE BASE CABINETS	MW-BM30	"Base microwave cabinet 1 drawer 30""W × 34 1/2""H × 24""D"	125.64
MW	WALL CABINETS	MW-W0930	Wall cabinet 9"W x 30"H x 12"D	48.61
MW	WALL CABINETS	MW-W1230	Wall cabinet 12"W x 30"H x 12"D	53.61
MW	WALL CABINETS	MW-W1530	Wall cabinet 15"W x 30"H x 12"D	62.66
MW	WALL CABINETS	MW-W1830	Wall cabinet 18"W x 30"H x 12"D	71.17
MW	WALL CABINETS	MW-W2130	Wall cabinet 21"W x 30"H x 12"D	75.23
MW	WALL CABINETS	MW-W2430	Wall cabinet 24"W x 30"H x 12"D	90.58
MW	WALL CABINETS	MW-W2730	Wall cabinet 27"W x 30"H x 12"D	100.19
MW	WALL CABINETS	MW-W3030	Wall cabinet 30"W x 30"H x 12"D	107.77
MW	WALL CABINETS	MW-W3330	Wall cabinet 33"W x 30"H x 12"D	117.01
MW	WALL CABINETS	MW-W3630	Wall cabinet 36"W x 30"H x 12"D	124.4
MW	WALL CABINETS	MW-W0936	Wall cabinet 9"W x 36"H x 12"D	52.87
MW	WALL CABINETS	MW-W1236	Wall cabinet 12"W x 36"H x 12"D	61
MW	WALL CABINETS	MW-W1536	Wall cabinet 15"W x 36"H x 12"D	70.61
MW	WALL CABINETS	MW-W1836	Wall cabinet 18"W x 36"H x 12"D	79.48
MW	WALL CABINETS	MW-W2136	Wall cabinet 21"W x 36"H x 12"D	92.24
MW	WALL CABINETS	MW-W2436	Wall cabinet 24"W x 36"H x 12"D	102.25
MW	WALL CABINETS	MW-W2736	Wall cabinet 27"W x 36"H x 12"D	106.26
MW	WALL CABINETS	MW-W3036	Wall cabinet 30"W x 36"H x 12"D	121.66
MW	WALL CABINETS	MW-W3336	Wall cabinet 33"W x 36"H x 12"D	133.98
MW	WALL CABINETS	MW-W3636	Wall cabinet 36"W x 36"H x 12"D	144.76
MW	WALL CABINETS	MW-W0942	Wall cabinet 9"W x 42"H x 12"D	61.18
MW	WALL CABINETS	MW-W1242	Wall cabinet 12"W x 42"H x 12"D	69.5
MW	WALL CABINETS	MW-W1542	Wall cabinet 15"W x 42"H x 12"D	82.26
MW	WALL CABINETS	MW-W1842	Wall cabinet 18"W x 42"H x 12"D	93.53
MW	WALL CABINETS	MW-W2142	Wall cabinet 21"W x 42"H x 12"D	102.59
MW	WALL CABINETS	MW-W2442	Wall cabinet 24"W x 42"H x 12"D	123.48
MW	WALL CABINETS	MW-W2742	Wall cabinet 27"W x 42"H x 12"D	132.17
MW	WALL CABINETS	MW-W3042	Wall cabinet 30"W x 42"H x 12"D	142.15
MW	WALL CABINETS	MW-W3342	Wall cabinet 33"W x 42"H x 12"D	152.68
MW	WALL CABINETS	MW-W3642	Wall cabinet 36"W x 42"H x 12"D	164.51
MW	WALL CORNER CABINETS	MW-BLW2730	"Wall blind corner cabinet 27""W x 30""H x 12""D"	86.88
MW	WALL CORNER CABINETS	MW-BLW2736	"Wall blind corner cabinet 27""W x 36""H x 12""D"	97.78
